S:[15074, 15101, 15029, 15037, 15043, 15054, 15021, 15015, 15028, 15075, 15049, 15103, 15098, 15025, 15019, 15102]
R:[15119, 15076, 15110, 15079, 15046, 15047, 15051, 15038, 15097, 15037, 15001, 15058, 15090, 15009, 15020, 15090]
S:[15058, 15095, 15079, 15092, 15052, 15068, 15077, 15013, 15090, 15104, 15017, 15032, 15061, 15094, 15008, 15022]
R:[15018, 15084, 15061, 15093, 15086, 15012, 15101, 15035, 15002, 15019, 15006, 15042, 15006, 15116, 15055, 15114]
S:[15073, 15072, 15032, 15089, 15111, 15064, 15092, 15003, 15045, 15076, 15033, 15105, 15075, 15109, 15082, 15066]
R:[15116, 15109, 15069, 15057, 15010, 15097, 15100, 15029, 15015, 15047, 15087, 15030, 15040, 15082, 15051, 15095]
S:[15027, 15082, 15047, 15018, 15039, 15118, 15025, 15097, 15057, 15004, 15070, 15006, 15111, 15020, 15117, 15087]
R:[15095, 15117, 15005, 15016, 15035, 15012, 15084, 15080, 15118, 15105, 15014, 15047, 15076, 15067, 15106, 15001]
S:[15014, 15003, 15066, 15077, 15016, 15092, 15050, 15089, 15048, 15074, 15004, 15037, 15067, 15104, 15024, 15032]
R:[15069, 15062, 15064, 15102, 15046, 15093, 15033, 15040, 15019, 15116, 15100, 15106, 15048, 15012, 15055, 15079]
S:[15032, 15055, 15081, 15005, 15116, 15061, 15117, 15050, 15038, 15026, 15067, 15090, 15114, 15066, 15031, 15018]
R:[15004, 15094, 15014, 15065, 15035, 15062, 15106, 15003, 15065, 15043, 15040, 15002, 15113, 15069, 15029, 15084]
S:[15070, 15101, 15059, 15063, 15090, 15071, 15108, 15005, 15044, 15030, 15053, 15009, 15042, 15037, 15049, 15011]
R:[15105, 15114, 15002, 15093, 15032, 15012, 15084, 15039, 15117, 15069, 15059, 15027, 15079, 15059, 15001, 15094]
S:[15010, 15077, 15114, 15056, 15019, 15036, 15117, 15024, 15000, 15091, 15076, 15109, 15102, 15065, 15116, 15004]
R:[15104, 15012, 15035, 15014, 15111, 15037, 15024, 15054, 15089, 15015, 15119, 15103, 15090, 15031, 15094, 15064]
S:[15088, 15040, 15012, 15102, 15000, 15084, 15105, 15119, 15019, 15061, 15079, 15091, 15068, 15071, 15032, 15080]
R:[15013, 15085, 15068, 15062, 15095, 15054, 15010, 15020, 15035, 15025, 15092, 15111, 15086, 15056, 15065, 15064]
S:[15043, 15016, 15029, 15103, 15030, 15099, 15006, 15089, 15054, 15104, 15047, 15081, 15050, 15027, 15000, 15051]
R:[15004, 15097, 15066, 15020, 15080, 15025, 15096, 15014, 15040, 15051, 15062, 15092, 15016, 15035, 15119, 15001]
S:[15076, 15015, 15103, 15085, 15069, 15014, 15060, 15050, 15072, 15017, 15027, 15089, 15020, 15098, 15031, 15074]
R:[15103, 15096, 15080, 15075, 15042, 15068, 15011, 15103, 15082, 15087, 15051, 15040, 15046, 15090, 15029, 15046]
S:[15000, 15102, 15081, 15119, 15046, 15091, 15057, 15050, 15087, 15098, 15109, 15116, 15077, 15002, 15100, 15106]
R:[15013, 15014, 15054, 15043, 15062, 15015, 15080, 15039, 15062, 15034, 15119, 15089, 15012, 15017, 15035, 15114]
S:[15042, 15058, 15047, 15107, 15112, 15037, 15064, 15113, 15059, 15026, 15063, 15097, 15036, 15057, 15049, 15005]
R:[15024, 15047, 15035, 15034, 15011, 15111, 15081, 15012, 15047, 15119, 15067, 15037, 15081, 15016, 15001, 15004]
