S:[15203, 15124, 15121, 15156, 15214, 15199, 15185, 15222, 15212, 15197, 15164, 15165, 15137, 15163, 15184, 15129]
R:[15189, 15171, 15140, 15168, 15171, 15162, 15206, 15221, 15190, 15177, 15150, 15139, 15146, 15235, 15164, 15179]
S:[15238, 15160, 15141, 15180, 15191, 15149, 15121, 15138, 15168, 15161, 15177, 15166, 15134, 15159, 15178, 15196]
R:[15132, 15198, 15125, 15158, 15135, 15180, 15168, 15185, 15165, 15165, 15138, 15146, 15208, 15226, 15159, 15170]
S:[15178, 15155, 15194, 15186, 15219, 15200, 15176, 15201, 15183, 15205, 15129, 15202, 15204, 15151, 15161, 15233]
R:[15170, 15208, 15193, 15135, 15189, 15150, 15135, 15138, 15218, 15180, 15177, 15151, 15225, 15146, 15187, 15125]
S:[15221, 15170, 15184, 15202, 15152, 15151, 15195, 15140, 15224, 15232, 15225, 15137, 15196, 15182, 15222, 15178]
R:[15181, 15208, 15132, 15220, 15122, 15164, 15129, 15133, 15151, 15238, 15192, 15155, 15139, 15128, 15189, 15205]
S:[15232, 15237, 15222, 15143, 15120, 15131, 15205, 15199, 15193, 15202, 15173, 15135, 15215, 15211, 15160, 15141]
R:[15140, 15203, 15233, 15238, 15125, 15138, 15220, 15133, 15228, 15208, 15130, 15139, 15177, 15167, 15194, 15178]
S:[15217, 15190, 15177, 15172, 15154, 15127, 15221, 15168, 15174, 15228, 15167, 15121, 15166, 15120, 15191, 15239]
R:[15143, 15156, 15207, 15165, 15212, 15193, 15200, 15187, 15186, 15124, 15135, 15164, 15220, 15221, 15143, 15168]
S:[15165, 15236, 15176, 15215, 15192, 15163, 15211, 15144, 15185, 15164, 15221, 15134, 15146, 15213, 15123, 15229]
R:[15201, 15189, 15142, 15155, 15126, 15206, 15229, 15174, 15228, 15167, 15207, 15152, 15126, 15205, 15136, 15221]
S:[15233, 15137, 15182, 15122, 15163, 15151, 15120, 15121, 15209, 15162, 15125, 15143, 15218, 15155, 15129, 15189]
R:[15238, 15220, 15189, 15188, 15198, 15194, 15160, 15206, 15135, 15206, 15181, 15184, 15227, 15186, 15190, 15160]
S:[15192, 15235, 15234, 15207, 15213, 15196, 15189, 15156, 15190, 15221, 15180, 15201, 15193, 15129, 15223, 15206]
R:[15187, 15167, 15218, 15177, 15150, 15214, 15187, 15178, 15184, 15143, 15142, 15205, 15170, 15229, 15200, 15205]
S:[15191, 15147, 15170, 15165, 15211, 15137, 15141, 15174, 15212, 15215, 15122, 15187, 15180, 15125, 15216, 15162]
R:[15140, 15232, 15167, 15164, 15170, 15136, 15138, 15185, 15224, 15135, 15170, 15159, 15198, 15197, 15181, 15215]
S:[15164, 15147, 15174, 15190, 15221, 15124, 15198, 15211, 15126, 15143, 15128, 15155, 15183, 15217, 15162, 15206]
R:[15158, 15155, 15238, 15238, 15211, 15208, 15164, 15140, 15189, 15232, 15186, 15191, 15142, 15143, 15136, 15126]
S:[15209, 15163, 15210, 15193, 15145, 15232, 15203, 15171, 15157, 15222, 15180, 15126, 15225, 15125, 15142, 15189]
R:[15122, 15146, 15233, 15222, 15182, 15142, 15173, 15164, 15227, 15153, 15154, 15131, 15139, 15144, 15234, 15206]
S:[15183, 15174, 15237, 15184, 15193, 15161, 15153, 15146, 15156, 15226, 15221, 15231, 15223, 15133, 15182, 15189]
R:[15238, 15142, 15130, 15140, 15187, 15220, 15130, 15222, 15143, 15186, 15163, 15153, 15146, 15158, 15178, 15206]
S:[15130, 15123, 15131, 15164, 15213, 15136, 15202, 15176, 15183, 15195, 15196, 15126, 15214, 15137, 15187, 15175]
R:[15162, 15151, 15200, 15189, 15164, 15236, 15196, 15177, 15235, 15170, 15171, 15132, 15126, 15223, 15205, 15193]
S:[15171, 15228, 15135, 15144, 15199, 15158, 15217, 15194, 15141, 15123, 15214, 15235, 15188, 15201, 15215, 15213]
R:[15216, 15164, 15133, 15189, 15225, 15164, 15228, 15225, 15205, 15231, 15133, 15134, 15140, 15229, 15187, 15134]
S:[15190, 15152, 15150, 15147, 15159, 15207, 15216, 15232, 15168, 15126, 15143, 15230, 15163, 15229, 15149, 15179]
R:[15206, 15133, 15135, 15186, 15191, 15126, 15139, 15142, 15136, 15148, 15239, 15190, 15151, 15144, 15158, 15159]
S:[15133, 15203, 15187, 15216, 15162, 15164, 15226, 15159, 15136, 15230, 15201, 15124, 15227, 15139, 15190, 15149]
R:[15158, 15173, 15170, 15126, 15144, 15222, 15122, 15177, 15171, 15239, 15143, 15188, 15160, 15148, 15228, 15204]
S:[15200, 15179, 15121, 15202, 15142, 15160, 15131, 15198, 15170, 15226, 15225, 15176, 15137, 15159, 15193, 15203]
R:[15168, 15122, 15126, 15194, 15204, 15162, 15203, 15208, 15164, 15237, 15184, 15223, 15222, 15205, 15232, 15236]
S:[15226, 15215, 15123, 15227, 15191, 15159, 15196, 15179, 15158, 15189, 15134, 15163, 15169, 15233, 15127, 15224]
R:[15122, 15208, 15186, 15225, 15142, 15160, 15154, 15237, 15197, 15222, 15158, 15200, 15224, 15144, 15207, 15125]
